what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521280422177
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1521280427844
error,log,,,"Internal Error",1521280427895
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1521280434244
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1521280443174
error,log,,,"Internal Error",1521280443225
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1521280452006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521280458776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521280460880
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1521280462955
error,log,,,"Internal Error",1521280463006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1521280469228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521280478060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521280481009
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1521280494045
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1521280752335
error,log,,,"Internal Error",1521280752386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521280767935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521280770968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1521280773187
error,log,,,"Internal Error",1521280773238
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1521280778522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521280786250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521280787863
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1521280790324
error,log,,,"Internal Error",1521280790374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1521280794847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521280801160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521280802650
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1521280804758
error,log,,,"Internal Error",1521280804810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1521280808926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521280817590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521280881927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1521280890330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521280901695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521280904609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521280907318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521280917389
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1521280923965
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1521280927324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1521280929835
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1521280937961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521280945194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521280953620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1521280956740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1521280959054
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1521280972123
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1521280975395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1521281069337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521281071225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521281076955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521281078297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521281085716
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1521281094826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521281100547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521281106839
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1521281108256
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findIncrementalReverse",1521281116688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1521281133352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1521281141395
