what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1496640854167
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1496640854167
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1496640854198
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1496640854214
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1496640854214
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1496640854245
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1496640854260
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1496640854260
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1496640854260
started,bundle,org.testng.eclipse,6.11.0.201703011520,"org.testng.eclipse",1496640854323
os,sysinfo,,,"win32",1496640854323
arch,sysinfo,,,"x86_64",1496640854323
ws,sysinfo,,,"win32",1496640854323
locale,sysinfo,,,"en_US",1496640854323
processors,sysinfo,,,"4",1496640854323
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1496640854338
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1496640854338
java.specification.name,sysinfo,,,"Java Platform API Specification",1496640854338
java.specification.vendor,sysinfo,,,"Oracle Corporation",1496640854338
java.specification.version,sysinfo,,,"1.7",1496640854338
java.vendor,sysinfo,,,"Oracle Corporation",1496640854338
java.version,sysinfo,,,"1.7.0_79",1496640854338
java.vm.info,sysinfo,,,"mixed mode",1496640854338
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1496640854338
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1496640854338
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1496640854338
java.vm.specification.version,sysinfo,,,"1.7",1496640854338
