what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1493961001319
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1493961001357
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1493961001358
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1493961001360
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1493961001361
started,bundle,org.testng.eclipse,6.11.0.201703011520,"org.testng.eclipse",1493961001402
os,sysinfo,,,"win32",1493961001410
arch,sysinfo,,,"x86_64",1493961001410
ws,sysinfo,,,"win32",1493961001410
locale,sysinfo,,,"en_US",1493961001410
processors,sysinfo,,,"4",1493961001410
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1493961001411
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1493961001411
java.specification.name,sysinfo,,,"Java Platform API Specification",1493961001411
java.specification.vendor,sysinfo,,,"Oracle Corporation",1493961001411
java.specification.version,sysinfo,,,"1.7",1493961001411
java.vendor,sysinfo,,,"Oracle Corporation",1493961001411
java.version,sysinfo,,,"1.7.0_79",1493961001411
java.vm.info,sysinfo,,,"mixed mode",1493961001411
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1493961001411
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1493961001411
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1493961001411
java.vm.specification.version,sysinfo,,,"1.7",1493961001411
java.vm.vendor,sysinfo,,,"Oracle Corporation",1493961001411
java.vm.version,sysinfo,,,"24.79-b02",1493961001411
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1493961001708
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1493961001875
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1493961002553
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1493961007280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493961013096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493961295663
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1493961298556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493961303710
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493961329777
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1493961330132
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1493961330270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493961351012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493961363414
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1493961371885
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1493961372909
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1493961372970
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1493961373083
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1493961373162
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1493961373404
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1493961373433
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1493961373550
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1493961373696
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1493961373740
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1493961373933
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1493961373936
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1493961374329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1493961374740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493961397601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493961397766
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1493961413165
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1493961457602
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1493961494540
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493961498661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493961507579
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1493961511136
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1493961516194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493961528493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493961541752
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1493961545474
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1493961553101
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1493961558107
