what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1509629520122
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1509629520123
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1509629520123
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1509629520124
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1509629520125
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1509629520126
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1509629520126
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1509629520127
started,bundle,org.testng.eclipse,6.11.0.201703011520,"org.testng.eclipse",1509629520128
os,sysinfo,,,"win32",1509629520131
arch,sysinfo,,,"x86_64",1509629520131
ws,sysinfo,,,"win32",1509629520131
locale,sysinfo,,,"en_US",1509629520131
processors,sysinfo,,,"4",1509629520131
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1509629520131
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1509629520131
java.specification.name,sysinfo,,,"Java Platform API Specification",1509629520131
java.specification.vendor,sysinfo,,,"Oracle Corporation",1509629520131
java.specification.version,sysinfo,,,"1.7",1509629520131
java.vendor,sysinfo,,,"Oracle Corporation",1509629520131
java.version,sysinfo,,,"1.7.0_79",1509629520131
java.vm.info,sysinfo,,,"mixed mode",1509629520131
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1509629520131
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1509629520131
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1509629520131
java.vm.specification.version,sysinfo,,,"1.7",1509629520131
java.vm.vendor,sysinfo,,,"Oracle Corporation",1509629520131
java.vm.version,sysinfo,,,"24.79-b02",1509629520131
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1509629525432
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1509629598682
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1509629615198
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1509629615272
error,log,,,"Internal Error",1509629706254
error,log,,,"Internal Error",1509629800999
error,log,,,"Internal Error",1509629811524
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1509629855565
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1509629866006
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1509629866051
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1509629866114
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1509629866149
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1509629866267
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1509629866271
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1509629866291
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1509629866372
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1509629866383
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1509629866494
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1509629866496
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1509629866838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1509629867181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509629875552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509629875769
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1509629922036
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1509629925817
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1509629925872
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1509629936681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509629938951
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1509629941391
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1509629941420
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1509629942011
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1509629942067
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1509629943325
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509629943458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509629945241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509629952334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509629952344
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509629954162
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509629968466
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1509629983153
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509630000073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509630040458
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.add.block.comment",1509630053426
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1509630063062
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1509630064779
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509630067840
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1509630071456
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1509630078250
error,log,,,"Internal Error",1509630082470
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1509630090866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1509630096918
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509630100808
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509630126016
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1509630129027
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1509630133427
opened,view,org.testng.eclipse,6.11.0.201703011520,"org.testng.eclipse.ResultView",1509630134866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509630141487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509630141501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509630143169
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509630255878
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509630269787
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1509630274714
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509630293655
