what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1493882294112
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1493882294192
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1493882294194
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1493882294228
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1493882294273
started,bundle,org.testng.eclipse,6.11.0.201703011520,"org.testng.eclipse",1493882294368
os,sysinfo,,,"win32",1493882294377
arch,sysinfo,,,"x86_64",1493882294377
ws,sysinfo,,,"win32",1493882294377
locale,sysinfo,,,"en_US",1493882294377
processors,sysinfo,,,"4",1493882294377
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1493882294377
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1493882294377
java.specification.name,sysinfo,,,"Java Platform API Specification",1493882294377
java.specification.vendor,sysinfo,,,"Oracle Corporation",1493882294377
java.specification.version,sysinfo,,,"1.7",1493882294377
java.vendor,sysinfo,,,"Oracle Corporation",1493882294377
java.version,sysinfo,,,"1.7.0_79",1493882294377
java.vm.info,sysinfo,,,"mixed mode",1493882294377
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1493882294377
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1493882294377
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1493882294377
java.vm.specification.version,sysinfo,,,"1.7",1493882294377
java.vm.vendor,sysinfo,,,"Oracle Corporation",1493882294377
java.vm.version,sysinfo,,,"24.79-b02",1493882294378
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1493882294612
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1493882297307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493882305948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493882330722
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1493882374269
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1493882374328
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1493882377252
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1493882377474
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1493882377540
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1493882383802
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1493882385957
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1493882385999
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1493882389794
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1493882394627
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1493882394687
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1493882398194
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1493882398470
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1493882398515
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1493882402083
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1493882409470
